   1              	 .syntax unified
   2              	 .cpu cortex-m4
   3              	 .eabi_attribute 27,3
   4              	 .fpu fpv4-sp-d16
   5              	 .eabi_attribute 20,1
   6              	 .eabi_attribute 21,1
   7              	 .eabi_attribute 23,3
   8              	 .eabi_attribute 24,1
   9              	 .eabi_attribute 25,1
  10              	 .eabi_attribute 26,1
  11              	 .eabi_attribute 30,4
  12              	 .eabi_attribute 34,1
  13              	 .eabi_attribute 18,4
  14              	 .thumb
  15              	 .file "USB_Glue.c"
  16              	 .section .text.USBH_SignalPortEventHandler,"ax",%progbits
  17              	 .align 1
  18              	 .global USBH_SignalPortEventHandler
  19              	 .thumb
  20              	 .thumb_func
  22              	USBH_SignalPortEventHandler:
  23              	 
  24              	 
  25              	 
  26 0000 11F00102 	 ands r2,r1,#1
  27 0004 01D0     	 beq .L2
  28 0006 0222     	 movs r2,#2
  29 0008 01E0     	 b .L14
  30              	.L2:
  31 000a 8B07     	 lsls r3,r1,#30
  32 000c 01D5     	 bpl .L3
  33              	.L14:
  34 000e 044B     	 ldr r3,.L16
  35 0010 1A70     	 strb r2,[r3]
  36              	.L3:
  37 0012 044B     	 ldr r3,.L16+4
  38 0014 1B68     	 ldr r3,[r3]
  39 0016 13B1     	 cbz r3,.L1
  40 0018 1B68     	 ldr r3,[r3]
  41 001a 03B1     	 cbz r3,.L1
  42 001c 1847     	 bx r3
  43              	.L1:
  44 001e 7047     	 bx lr
  45              	.L17:
  46              	 .align 2
  47              	.L16:
  48 0020 00000000 	 .word USB_HostState
  49 0024 00000000 	 .word USBH_EventCB
  51              	 .section .text.USBH_SignalPipeEventHandler,"ax",%progbits
  52              	 .align 1
  53              	 .global USBH_SignalPipeEventHandler
  54              	 .thumb
  55              	 .thumb_func
  57              	USBH_SignalPipeEventHandler:
  58              	 
  59              	 
  60 0000 084B     	 ldr r3,.L26
  61 0002 0344     	 add r3,r3,r0
  62 0004 5A09     	 lsrs r2,r3,#5
  63 0006 084B     	 ldr r3,.L26+4
  64 0008 10B5     	 push {r4,lr}
  65 000a 1424     	 movs r4,#20
  66 000c 04FB0233 	 mla r3,r4,r2,r3
  67 0010 5960     	 str r1,[r3,#4]
  68 0012 064B     	 ldr r3,.L26+8
  69 0014 1B68     	 ldr r3,[r3]
  70 0016 23B1     	 cbz r3,.L18
  71 0018 5B68     	 ldr r3,[r3,#4]
  72 001a 13B1     	 cbz r3,.L18
  73 001c BDE81040 	 pop {r4,lr}
  74 0020 1847     	 bx r3
  75              	.L18:
  76 0022 10BD     	 pop {r4,pc}
  77              	.L27:
  78              	 .align 2
  79              	.L26:
  80 0024 00FBFBAF 	 .word -1342440704
  81 0028 00000000 	 .word USBHost_Pipe_State
  82 002c 00000000 	 .word USBH_EventCB
  84              	 .section .text.USB_Host_ResetDevice,"ax",%progbits
  85              	 .align 1
  86              	 .thumb
  87              	 .thumb_func
  89              	USB_Host_ResetDevice:
  90              	 
  91              	 
  92              	 
  93 0000 014B     	 ldr r3,.L29
  94 0002 0020     	 movs r0,#0
  95 0004 9B69     	 ldr r3,[r3,#24]
  96 0006 1847     	 bx r3
  97              	.L30:
  98              	 .align 2
  99              	.L29:
 100 0008 00000000 	 .word Driver_USBH0
 102              	 .section .text.USBH_PipeEventReset,"ax",%progbits
 103              	 .align 1
 104              	 .global USBH_PipeEventReset
 105              	 .thumb
 106              	 .thumb_func
 108              	USBH_PipeEventReset:
 109              	 
 110              	 
 111              	 
 112 0000 054B     	 ldr r3,.L32
 113 0002 0344     	 add r3,r3,r0
 114 0004 5A09     	 lsrs r2,r3,#5
 115 0006 054B     	 ldr r3,.L32+4
 116 0008 1420     	 movs r0,#20
 117 000a 00FB0233 	 mla r3,r0,r2,r3
 118 000e 5A68     	 ldr r2,[r3,#4]
 119 0010 22EA0101 	 bic r1,r2,r1
 120 0014 5960     	 str r1,[r3,#4]
 121 0016 7047     	 bx lr
 122              	.L33:
 123              	 .align 2
 124              	.L32:
 125 0018 00FBFBAF 	 .word -1342440704
 126 001c 00000000 	 .word USBHost_Pipe_State
 128              	 .section .text.USBH_PipeEventGet,"ax",%progbits
 129              	 .align 1
 130              	 .global USBH_PipeEventGet
 131              	 .thumb
 132              	 .thumb_func
 134              	USBH_PipeEventGet:
 135              	 
